user_id,case_id,timestamp
2703,1383,2015-05-30T22:15:39
2703,1384,2013-10-07T15:18:04
2703,1387,2013-10-07T17:04:30
2703,1388,2013-11-13T21:13:56
2703,1389,2013-11-13T22:31:52
2703,1390,2013-10-08T01:04:06
2703,1394,2013-10-08T09:13:21
2703,1398,2013-11-13T23:07:21
2703,1399,2013-10-08T19:07:05
2703,1400,2013-10-08T19:42:39
2703,1405,2015-05-30T22:19:17
8083,1403,2015-11-03T22:28:01
2703,1404,2013-10-08T20:23:17
2703,1406,2013-10-08T23:06:46
1015,1462,2016-05-25T22:27:51
2703,1412,2013-10-09T09:20:45
2703,1434,2013-10-14T18:16:36
8140,1442,2013-11-03T15:56:31
8198,1449,2016-05-25T22:29:07
1708,1459,2015-04-03T16:05:14
1708,1445,2015-04-03T16:05:14
2703,1432,2013-10-14T17:52:56
1700,1431,2016-05-21T15:34:19
9635,1957,2016-02-14T17:02:41
73587,4200,2016-02-12T17:13:00
1708,2453,2016-05-29T00:33:27
1700,2342,2016-06-25T22:05:05
1708,2444,2016-05-30T22:06:42
73505,4198,2016-02-12T17:24:43
77803,4195,2015-07-10T21:30:29
69307,4196,2016-03-22T02:00:54
1679,2218,2016-05-20T22:56:44
9248,2197,2016-02-14T16:52:18
2363,2843,2016-02-13T02:45:40
1698,2373,2016-05-25T16:23:26
1698,2374,2016-03-25T15:53:49
1679,2315,2016-05-19T20:53:16
1698,2376,2016-03-26T15:40:41
1698,2369,2016-05-18T16:54:54
1698,2370,2016-04-17T15:09:33
1698,2371,2016-05-29T15:50:08
1698,2372,2016-03-26T22:54:34
1776,2438,2016-02-08T17:10:07
1679,2360,2016-05-19T20:00:52
1679,3079,2016-04-15T15:27:05
12909,2618,2016-02-08T16:39:47
1708,3193,2016-06-05T21:18:59
9248,2891,2016-05-25T16:08:40
9248,2892,2016-02-13T02:43:33
1708,2697,2016-05-25T16:14:00
9248,2635,2016-08-22T16:25:14
2363,2842,2016-07-29T18:06:13
2363,2841,2016-05-25T16:10:50
16073,3458,2014-07-01T19:37:13
1776,4256,2015-08-18T17:09:50
79890,4242,2016-05-25T15:39:29
79935,4243,2016-05-25T15:35:25
1776,4245,2015-08-18T18:00:30
78422,4237,2016-01-30T16:45:11
1776,4247,2015-08-18T17:59:52
79811,4240,2016-05-25T15:47:08
78444,4236,2016-05-25T15:47:25
78223,4229,2016-02-25T12:48:15
78404,4230,2016-07-11T16:29:42
78873,4233,2016-01-31T05:08:20
73587,4234,2016-05-25T15:49:16
65174,4133,2014-07-14T21:06:57
65561,4135,2016-02-13T02:37:46
65561,4136,2016-06-06T21:36:56
65863,4144,2016-05-25T16:06:19
73587,4199,2016-05-25T15:58:33
78353,4228,2016-05-25T15:52:37
1776,4252,2015-08-18T17:57:34
78320,4226,2016-01-31T17:04:49
69369,4160,2015-04-07T16:08:42
0,4161,2016-05-25T16:05:14
69336,4162,2016-02-05T17:04:15
69150,4163,2015-02-22T19:42:17
73587,4192,2016-05-25T16:01:02
73587,4193,2016-02-12T17:28:27
69453,4165,2016-05-25T16:04:32
69456,4166,2015-02-22T20:39:00
69388,4167,2015-11-03T22:29:51
69144,4168,2015-02-26T11:53:11
69506,4169,2015-02-22T20:10:42
69594,4171,2015-02-22T20:14:35
69941,4172,2015-03-30T21:34:12
8580,4176,2016-07-29T17:54:05
8580,4177,2016-02-05T04:45:10
8580,4178,2016-02-04T17:21:17
73587,4204,2016-02-03T04:55:27
73587,4205,2016-02-03T04:38:16
1015,4201,2016-05-25T15:58:05
8580,4190,2016-02-04T16:44:58
73587,4207,2016-05-25T15:56:19
1776,4253,2015-08-18T17:56:36
1776,4251,2015-06-27T13:49:33
1776,4249,2015-08-18T17:58:32
1776,4248,2015-08-18T17:59:20
78257,4220,2016-02-12T17:07:16
78085,4221,2016-02-02T16:23:28
78279,4222,2016-05-25T15:54:12
78290,4223,2015-05-16T11:48:54
78290,4224,2016-05-25T15:53:53
78310,4225,2016-08-02T18:19:39
80674,4260,2016-02-06T00:01:06
96833,4279,2016-08-01T03:50:22
99373,4280,2016-02-12T04:37:59
69487,4284,2016-04-27T22:12:04
69487,4285,2016-02-12T02:41:00
99571,4287,2016-03-25T15:18:00
99571,4288,2016-03-25T15:18:03
107069,4289,2016-05-11T19:57:37
114542,4292,2016-02-15T18:32:55
114542,4295,2016-02-15T23:28:48
119380,4297,2016-02-23T12:26:57
119701,4301,2016-02-01T22:50:38
119701,4302,2016-02-01T23:17:23
114542,4303,2016-02-15T23:27:02
169032,4517,2016-08-23T17:44:35
78064,4332,2016-03-31T19:27:37
141073,4334,2016-03-31T15:51:55
114542,4336,2016-07-05T21:11:31
169032,4504,2016-08-23T18:10:44
145926,4346,2016-07-05T20:45:39
134860,4350,2016-07-25T23:08:51
102584,4351,2016-07-04T16:03:57
134860,4353,2016-07-25T23:06:37
119070,4354,2016-07-03T18:14:00
134860,4355,2016-07-03T17:30:47
147796,4361,2016-07-25T23:14:56
148263,4362,2016-06-30T20:16:28
148682,4365,2016-06-30T18:13:39
148768,4366,2016-06-30T17:53:54
134860,4367,2016-07-25T23:10:37
122828,4368,2016-06-28T21:12:21
148901,4369,2016-06-27T18:39:57
148301,4370,2016-06-26T16:03:48
134860,4372,2016-07-25T20:13:30
151702,4389,2016-06-22T01:20:14
121957,4375,2016-06-25T22:08:25
134860,4379,2016-07-25T20:12:24
150097,4383,2016-08-06T22:07:18
150950,4384,2016-06-24T15:02:55
134860,4385,2016-07-25T20:09:59
134860,4386,2016-07-25T20:06:58
134860,4387,2016-07-25T20:05:43
134860,4391,2016-06-20T18:43:14
134860,4392,2016-07-25T20:03:27
151040,4393,2016-06-19T16:00:34
153198,4394,2016-06-19T22:22:14
153399,4396,2016-06-18T22:17:56
153427,4397,2016-06-18T21:55:44
153320,4399,2016-06-16T22:21:07
153320,4402,2016-08-06T21:41:29
153320,4404,2016-06-16T21:32:30
134860,4408,2016-07-25T20:08:01
134860,4409,2016-08-10T14:56:15
121822,4410,2016-06-15T22:40:21
351,4414,2016-06-12T22:24:09
121822,4415,2016-06-12T22:18:55
112359,4417,2016-06-12T22:15:03
112359,4418,2016-06-12T15:27:55
158310,4422,2016-06-15T16:08:14
134860,4429,2016-07-02T22:04:09
134860,4496,2016-08-15T04:25:21
134860,4458,2016-07-02T21:57:32
134860,4466,2016-07-04T20:35:44
134860,4469,2016-07-12T21:22:54
134860,4472,2016-07-13T22:14:06
134860,4473,2016-07-30T21:34:46
169032,4490,2016-08-23T18:51:53
169032,4481,2016-08-23T18:48:51
169032,4488,2016-08-09T18:13:25
169032,4489,2016-08-09T20:50:11
134860,4498,2016-08-01T21:37:54
134860,4505,2016-08-03T22:10:12
169032,4514,2016-08-23T18:09:06
134860,4513,2016-08-07T21:40:17
169032,4512,2016-08-23T16:43:35
134860,4510,2016-07-25T22:21:05
134860,4511,2016-08-12T01:42:53
169032,4509,2016-08-23T16:35:48
134860,4515,2016-08-07T21:38:17
169032,4524,2016-08-23T18:16:18
134860,4525,2016-08-07T21:59:51
134860,4527,2016-08-07T22:04:13
134860,4528,2016-08-04T01:59:07
134860,4529,2016-08-05T02:52:00
134860,4535,2016-08-10T02:38:37
134860,4533,2016-08-08T08:53:55
173891,4538,2016-08-11T15:12:36
169032,4539,2016-08-23T17:06:47
134860,4542,2016-08-15T02:26:10
134860,4543,2016-08-16T04:40:11
134860,4545,2016-08-16T12:22:20
134860,4547,2016-08-18T08:45:45
169032,4548,2016-08-21T16:08:37
169032,4549,2016-08-21T16:08:38
169032,4550,2016-08-23T17:38:05
134860,4556,2016-08-26T02:50:11
134860,4554,2016-08-24T05:10:53
134860,4557,2016-08-26T02:49:24
134860,4558,2016-08-29T05:04:56
